Date,Time,Value,Chart Type
3/12/2019,0:14:00,0,Chart N
3/12/2019,0:14:20,2.9,Chart A
3/12/2019,0:14:20,5.1,Chart C
3/12/2019,0:14:20,13,Chart H
3/12/2019,0:14:20,0,Chart D
3/12/2019,0:14:20,78,Chart B
3/12/2019,0:14:20,52,Chart F
3/12/2019,0:14:20,0,Chart G
3/12/2019,0:14:20,98,Chart I
3/12/2019,0:14:20,55,Chart J
3/12/2019,0:14:20,1003,Chart K
3/12/2019,0:14:20,1796,Chart L
3/12/2019,0:14:20,11,Chart M
3/12/2019,0:14:20,0,Chart N
3/12/2019,0:14:40,2.8,Chart A
3/12/2019,0:14:40,5,Chart C
3/12/2019,0:14:40,14,Chart H
3/12/2019,0:14:40,0,Chart D
3/12/2019,0:14:40,78,Chart B
3/12/2019,0:14:40,52,Chart F
3/12/2019,0:14:40,0,Chart G
3/12/2019,0:14:40,97,Chart I
3/12/2019,0:14:40,54,Chart J
3/12/2019,0:14:40,1009,Chart K
3/12/2019,0:14:40,1806,Chart L
3/12/2019,0:14:40,12,Chart M
3/12/2019,0:14:40,0,Chart N
3/12/2019,0:15:00,2.8,Chart A
3/12/2019,0:15:00,5,Chart C
3/12/2019,0:15:00,14,Chart H
3/12/2019,0:15:00,0,Chart D
3/12/2019,0:15:00,77,Chart B
3/12/2019,0:15:00,52,Chart F
3/12/2019,0:15:00,0,Chart G
3/12/2019,0:15:00,96,Chart I
3/12/2019,0:15:00,54,Chart J
3/12/2019,0:15:00,1001,Chart K
3/12/2019,0:15:00,1791,Chart L
3/12/2019,0:15:00,14,Chart M
3/12/2019,0:15:00,0,Chart N
3/12/2019,0:15:20,2.8,Chart A
3/12/2019,0:15:20,5,Chart C
3/12/2019,0:15:20,14,Chart H
3/12/2019,0:15:20,0,Chart D
3/12/2019,0:15:20,77,Chart B
3/12/2019,0:15:20,52,Chart F
3/12/2019,0:15:20,0,Chart G
3/12/2019,0:15:20,96,Chart I
3/12/2019,0:15:20,53,Chart J
3/12/2019,0:15:20,1006,Chart K
3/12/2019,0:15:20,1800,Chart L
3/12/2019,0:15:20,13,Chart M
3/12/2019,0:15:20,0,Chart N
3/12/2019,0:15:40,2.7,Chart A
3/12/2019,0:15:40,4.8,Chart C
3/12/2019,0:15:40,13,Chart H
3/12/2019,0:15:40,0,Chart D
3/12/2019,0:15:40,73,Chart B
3/12/2019,0:15:40,52,Chart F
3/12/2019,0:15:40,0,Chart G
3/12/2019,0:15:40,92,Chart I
3/12/2019,0:15:40,52,Chart J
3/12/2019,0:15:40,1003,Chart K
3/12/2019,0:15:40,1795,Chart L
3/12/2019,0:15:40,16,Chart M
3/12/2019,0:15:40,0,Chart N
3/12/2019,0:16:00,2.7,Chart A
3/12/2019,0:16:00,4.8,Chart C
3/12/2019,0:16:00,14,Chart H
3/12/2019,0:16:00,0,Chart D
3/12/2019,0:16:00,75,Chart B
3/12/2019,0:16:00,52,Chart F
3/12/2019,0:16:00,0,Chart G
3/12/2019,0:16:00,94,Chart I
3/12/2019,0:16:00,52,Chart J
3/12/2019,0:16:00,1025,Chart K
3/12/2019,0:16:00,1834,Chart L
3/12/2019,0:16:00,13,Chart M
3/12/2019,0:16:00,0,Chart N
3/12/2019,0:16:20,2.7,Chart A
3/12/2019,0:16:20,4.9,Chart C
3/12/2019,0:16:20,14,Chart H
3/12/2019,0:16:20,0,Chart D
3/12/2019,0:16:20,76,Chart B
3/12/2019,0:16:20,52,Chart F
3/12/2019,0:16:20,0,Chart G
3/12/2019,0:16:20,94,Chart I
